Subjects,groups,Likelihoods,Weights,Intercept,OI,OIc,Tr,LLabel,Gamma,Phase
90,0,0.06,0.991178199890897,0.00390130792172679,0.906537,0.778367929577465,71,2,277.777777777778,0
92,0,0.024,1.00698037298105,-0.00288120370610733,0.9365905,0.865481861111111,72,1,1736.11111111111,0
92,0,0.06,0.947430381983779,0.00251942505475327,0.943008,0.826782432432432,74,2,277.777777777778,0
94,0,0.024,0.987777182983224,0.000682455390588005,0.9632055,0.914025666666667,72,1,1736.11111111111,0
94,0,0.06,0.921329073521611,0.00613762858746778,0.907345,0.802645794520548,73,2,277.777777777778,0
104,0,0.024,1.00872658188651,0.000150095934800297,0.968031,0.897509878378378,74,1,1736.11111111111,0
104,0,0.06,0.979757870256164,0.000696587143355958,0.908026,0.755619581081081,74,2,277.777777777778,0
106,0,0.024,0.998777844082229,-7.30194685787043e-05,0.969508,0.910560029850746,67,1,1736.11111111111,0
106,0,0.06,0.995018186355696,0.00109833338861888,0.9353475,0.7964918,70,2,277.777777777778,0
112,0,0.024,0.946489661132075,0.00461437872888847,0.824285,0.789839450704225,71,1,1736.11111111111,0
112,0,0.06,0.927266020696439,0.0054936030750674,0.9111835,0.756910041666667,72,2,277.777777777778,0
114,0,0.024,0.994708446856935,-0.000545652338476244,0.9789275,0.924317041666667,72,1,1736.11111111111,0
114,0,0.06,1.01001376786119,-0.000173413030425782,0.909367,0.788215732394366,71,2,277.777777777778,0
116,0,0.024,1.02548261491278,0.00314088140039128,0.9070975,0.8187855,70,1,1736.11111111111,0
116,0,0.06,0.981272954314712,0.00419901652578168,0.923379,0.826726492537313,67,2,277.777777777778,0
120,0,0.024,0.924903871553936,-0.00170480362179906,0.989843,0.93951772972973,74,1,1736.11111111111,0
120,0,0.06,0.94747306558832,0.00487307983076281,0.8963795,0.770541324324324,74,2,277.777777777778,0
122,0,0.024,0.949373797895652,-0.000575184867459233,0.980626,0.938102465753425,73,1,1736.11111111111,0
122,0,0.06,0.957635538411186,-0.000946871095684504,0.89866,0.79632797260274,73,2,277.777777777778,0
124,0,0.024,0.969266095549746,0.000639979278635033,0.933814,0.880798828571429,70,1,1736.11111111111,0
124,0,0.06,0.999988420171621,0.00303634579020457,0.841964,0.758772125,72,2,277.777777777778,0
126,0,0.024,1.04694183005794,1.18340407882145e-05,0.661873,0.714873453333333,75,1,1736.11111111111,0
126,0,0.06,1.01918771500695,0.00520354440026058,0.8736995,0.747096216216216,74,2,277.777777777778,0
130,0,0.024,0.997561152303354,0.00191901181593743,0.962787,0.9022434,75,1,1736.11111111111,0
130,0,0.06,1.01133735532924,0.00323819215746567,0.900436,0.788077068493151,73,2,277.777777777778,0
136,0,0.024,0.988835158434593,0.00475201234783609,0.882248,0.831180698412698,63,1,1736.11111111111,0
136,0,0.06,0.982304474853828,0.00805447073011463,0.86795,0.716379313432836,67,2,277.777777777778,0
138,0,0.024,1.00647641926033,0.00229423579845753,0.9316455,0.875301791666667,72,1,1736.11111111111,0
138,0,0.06,0.990948866971805,0.0069699527713931,0.924909,0.794860013888889,72,2,277.777777777778,0
144,0,0.024,1.00901031856604,-0.000258468897659586,0.852456,0.802452364864865,74,1,1736.11111111111,0
144,0,0.06,0.976265092081523,0.00501154730757116,0.90713,0.780859333333333,75,2,277.777777777778,0
146,0,0.024,0.952249181123065,-0.000299213092437046,0.939941,0.885587413333333,75,1,1736.11111111111,0
146,0,0.06,0.949104802147399,0.00466882889115179,0.906567,0.807779328767123,73,2,277.777777777778,0
148,0,0.024,1.01343938448298,-0.00107000523436197,0.979997,0.90340123943662,71,1,1736.11111111111,0
148,0,0.06,0.973671787689046,-0.0011801731395178,0.870077,0.785152465753425,73,2,277.777777777778,0
150,0,0.024,0.992721037876093,-0.00163900395032732,0.9537555,0.906840094594595,74,1,1736.11111111111,0
150,0,0.06,0.963425715630211,-0.00163145840912203,0.9158,0.801850291666667,72,2,277.777777777778,0
